date,heizlast1,heizlast2,heizlast3,heizlast4,heizlast5,heizlast6,heizlast7,heizlast8,heizlast9,heizlast10,heizlast11
2023-01-01 00:00:00,2.489872333333333,1.9013588333333333,2.1474729999999997,1.9194309999999999,2.0352954999999997,2.5789075,2.0515251666666665,2.2917383333333334,2.2562776666666666,1.9708193333333335,2.1491721666666668
2023-01-01 01:00:00,2.5484163333333334,1.9982076666666666,2.1979648333333333,1.9645620000000001,2.083150333333333,2.6395445,2.099762,2.4084714999999997,2.371205666666667,2.017158333333333,2.1997050000000002
2023-01-01 02:00:00,2.680045333333333,1.9902655,2.3114921666666666,2.0660336666666668,2.1907475,2.7758805,2.208217666666667,2.3988993333333335,2.3617806666666668,2.1213475,2.3133228333333333
2023-01-01 03:00:00,2.9487303333333332,2.1097201666666665,2.5432278333333334,2.2731624999999998,2.410378166666667,3.0541733333333334,2.4296001666666664,2.5428786666666667,2.5035328333333333,2.334021,2.5452425
2023-01-01 04:00:00,3.8388346666666666,2.212533833333333,3.3109283333333335,2.9593405,3.1379755,3.9761065,3.1630003333333336,2.6668011666666667,2.6255376666666668,3.0385688333333336,3.3135501666666665
2023-01-01 05:00:00,5.633872,3.1028921666666665,4.859117166666667,4.343126,4.605292666666667,5.835332500000001,4.642017,3.7399655,3.6820965,4.459402166666666,4.862964333333334
2023-01-01 06:00:00,6.970937500000001,4.054219833333333,6.012312166666666,5.822583166666666,5.698249000000001,7.296240166666666,5.74369,4.886616833333333,4.811005,5.5177345,6.017073166666666
2023-01-01 07:00:00,6.707596166666667,3.939169333333333,5.7851855,7.213864833333333,5.707345500000001,6.949318333333333,5.526710166666667,6.490566833333333,4.673172166666666,5.3092923333333335,5.7897665
2023-01-01 08:00:00,6.380338333333333,3.8848525,5.502930166666667,6.375730666666667,5.215475833333333,6.686387666666667,5.257066,4.592681,4.522718,5.050255000000001,6.805590333333333
2023-01-01 09:00:00,6.010808333333333,3.7913103333333336,5.1842175,4.633704166666666,4.913411166666666,6.227613833333334,4.952593666666667,4.569726833333333,4.719210833333333,4.757759666666667,6.605637
