 TIME                                   ,T_1                                     ,T_2                                     ,T_3                                     ,
  +2.1520000000000000E+03,  +6.1782559932016873E+01,  +5.7844320680524767E+01,  +5.4244725920187797E+01,
  +2.1530000000000000E+03,  +6.2643218522173086E+01,  +5.9570480316323433E+01,  +5.6173687240852296E+01,
  +2.1540000000000000E+03,  +6.3132067968747762E+01,  +6.0548436581707634E+01,  +5.7268599556945560E+01,
  +2.1550000000000000E+03,  +6.3427157541871686E+01,  +6.1129687819828860E+01,  +5.7924253985515371E+01,
  +2.1560000000000000E+03,  +6.3643953342456982E+01,  +6.1549547199204881E+01,  +5.8414025000989390E+01,
  +2.1570000000000000E+03,  +6.3862151497938342E+01,  +6.1974000626502097E+01,  +5.8938076184915083E+01,
  +2.1580000000000000E+03,  +6.4153995556936081E+01,  +6.2571383933896790E+01,  +5.9748801557066223E+01,
  +2.1590000000000000E+03,  +6.3885015114678268E+01,  +6.2112095973016253E+01,  +5.8878301849792422E+01,
  +2.1600000000000000E+03,  +6.3063908059279505E+01,  +6.0712637023721527E+01,  +5.6890603486614609E+01,
  +2.1610000000000000E+03,  +6.3397869435210268E+01,  +6.1102711474354884E+01,  +5.7776454389514129E+01,
  +2.1620000000000000E+03,  +6.3322101977434329E+01,  +6.0988150513703772E+01,  +5.7632583321484326E+01,
  +2.1630000000000000E+03,  +6.3511695731701778E+01,  +6.1306284379803962E+01,  +5.8090064159082083E+01,
  +2.1640000000000000E+03,  +6.3238672492953214E+01,  +6.0915603023446629E+01,  +5.7486705047891292E+01,
  +2.1650000000000000E+03,  +6.1604359844086353E+01,  +5.8650563319055003E+01,  +5.4678086372249922E+01,
  +2.1660000000000000E+03,  +5.9062951717641639E+01,  +5.5567300587891950E+01,  +5.1562195787407020E+01,
  +2.1670000000000000E+03,  +5.6147444813850271E+01,  +5.2432756043763050E+01,  +4.8628953486037020E+01,
  +2.1680000000000000E+03,  +5.3260422209800964E+01,  +4.9563568576837682E+01,  +4.5967818665099159E+01,
  +2.1690000000000000E+03,  +5.0518265507986442E+01,  +4.6917694152654853E+01,  +4.3456648459270852E+01,
  +2.1700000000000000E+03,  +4.7961841887343233E+01,  +4.4458924418812565E+01,  +4.1077861405542762E+01,
  +2.1710000000000000E+03,  +4.5573969045171900E+01,  +4.2147355883918770E+01,  +3.8811492567615133E+01,
  +2.1720000000000000E+03,  +5.2391043703252983E+01,  +4.5524474288570538E+01,  +4.2013202793184888E+01,
  +2.1730000000000000E+03,  +5.8810568840952079E+01,  +5.1966921126800152E+01,  +4.8007642558469463E+01,
  +2.1740000000000000E+03,  +6.1162158842691944E+01,  +5.6445207871307659E+01,  +5.2589667833273580E+01,
  +2.1750000000000000E+03,  +6.2384520447801322E+01,  +5.8946447437838785E+01,  +5.5428250679252102E+01,
  +2.1760000000000000E+03,  +6.3046643352052335E+01,  +6.0326314401813903E+01,  +5.7004526146187210E+01,
  +2.1770000000000000E+03,  +6.3405801994778905E+01,  +6.1068261335395945E+01,  +5.7847440066647444E+01,
  +2.1780000000000000E+03,  +6.3602832521271459E+01,  +6.1468905687214459E+01,  +5.8303283290602515E+01,
  +2.1790000000000000E+03,  +6.3725507887558216E+01,  +6.1713566161069110E+01,  +5.8588945216178914E+01,
  +2.1800000000000000E+03,  +6.3835805570341989E+01,  +6.1929979232180948E+01,  +5.8855359295848409E+01,
  +2.1810000000000000E+03,  +6.3018554970532321E+01,  +6.0690566024887524E+01,  +5.7110928618478141E+01,
  +2.1820000000000000E+03,  +6.3132927066244307E+01,  +6.0660043719353979E+01,  +5.7259876190450072E+01,
  +2.1830000000000000E+03,  +6.3032773099558540E+01,  +6.0500939319701637E+01,  +5.7114938403759176E+01,
  +2.1840000000000000E+03,  +6.2057337668423855E+01,  +5.9211328660032940E+01,  +5.5472511808605859E+01,
  +2.1850000000000000E+03,  +6.1049154107809116E+01,  +5.7940249183534078E+01,  +5.4132152575680735E+01,
  +2.1860000000000000E+03,  +5.9925763427531365E+01,  +5.6618269336972574E+01,  +5.2834635363239620E+01,
  +2.1870000000000000E+03,  +5.8676703596808643E+01,  +5.5236813399573997E+01,  +5.1516520498615584E+01,
  +2.1880000000000000E+03,  +6.0631031404105933E+01,  +5.6792792113471208E+01,  +5.3275986392887049E+01,
  +2.1890000000000000E+03,  +6.0789775303039534E+01,  +5.6869641647114108E+01,  +5.3295413322760474E+01,
  +2.1900000000000000E+03,  +5.8144034589836494E+01,  +5.4343789766011071E+01,  +5.0596789390414905E+01,
  +2.1910000000000000E+03,  +5.5424552640478680E+01,  +5.1662258974096112E+01,  +4.7941109170849323E+01,
  +2.1920000000000000E+03,  +5.2839718856795493E+01,  +4.9132834463233031E+01,  +4.5526303084149255E+01,
  +2.1930000000000000E+03,  +5.0408453628119027E+01,  +4.6781412775310649E+01,  +4.3279856324149677E+01,
  +2.1940000000000000E+03,  +4.8148642439235999E+01,  +4.4603886155441991E+01,  +4.1181708792555412E+01,
  +2.1950000000000000E+03,  +4.6039815308755017E+01,  +4.2566920033804003E+01,  +3.9198367002194942E+01,
  +2.1960000000000000E+03,  +4.4029888394454957E+01,  +4.0613755239709548E+01,  +3.7276359529596604E+01,
  +2.1970000000000000E+03,  +5.1700782095524858E+01,  +4.4487702680017662E+01,  +4.0820958317174430E+01,
  +2.1980000000000000E+03,  +5.8768636967060985E+01,  +5.1547624447570684E+01,  +4.7339978700484593E+01,
  +2.1990000000000000E+03,  +6.1270197579353898E+01,  +5.6436347430089867E+01,  +5.2419396750902862E+01,
  +2.2000000000000000E+03,  +6.2535864556563418E+01,  +5.9130040910758268E+01,  +5.5565475088251894E+01,
  +2.2010000000000000E+03,  +6.3225515134247075E+01,  +6.0618283866130184E+01,  +5.7317628909492463E+01,
  +2.2020000000000000E+03,  +6.3612005305526679E+01,  +6.1441072330240836E+01,  +5.8281557659605063E+01,
  +2.2030000000000000E+03,  +6.3838669295287787E+01,  +6.1915772427255270E+01,  +5.8841636055481942E+01,
  +2.2040000000000000E+03,  +6.3052200612076845E+01,  +6.0728980443845913E+01,  +5.7120631339329179E+01,
  +2.2050000000000000E+03,  +6.1393066895259444E+01,  +5.8364362170751420E+01,  +5.4309220903236955E+01,
  +2.2060000000000000E+03,  +5.9807606590586587E+01,  +5.6389024748879329E+01,  +5.2439732676932643E+01,
  +2.2070000000000000E+03,  +5.8475238666528391E+01,  +5.4916124634753643E+01,  +5.1143376700047234E+01,
  +2.2080000000000000E+03,  +5.7370908473868944E+01,  +5.3775626053718753E+01,  +5.0143327271906294E+01,
  +2.2090000000000000E+03,  +5.6348841565910064E+01,  +5.2761645242533440E+01,  +4.9232318985438447E+01,
  +2.2100000000000000E+03,  +5.9535139721424912E+01,  +5.5184211248742059E+01,  +5.1579492742051080E+01,
  +2.2110000000000000E+03,  +6.0889086494385595E+01,  +5.6262515897354440E+01,  +5.2646791249562959E+01,
  +2.2120000000000000E+03,  +5.9219065719765524E+01,  +5.4920498911693556E+01,  +5.1368712797004683E+01,
  +2.2130000000000000E+03,  +5.7190838242529750E+01,  +5.3174735343640009E+01,  +4.9608058794717010E+01,
  +2.2140000000000000E+03,  +5.4732862410362721E+01,  +5.0912976834135982E+01,  +4.7301311436564568E+01,
  +2.2150000000000000E+03,  +5.2246913851192119E+01,  +4.8536531548556731E+01,  +4.4943738015994121E+01,
  +2.2160000000000000E+03,  +4.9936459203726649E+01,  +4.6302951761227028E+01,  +4.2782929326194790E+01,
  +2.2170000000000000E+03,  +4.7801659333036412E+01,  +4.4239969827067917E+01,  +4.0792678574169614E+01,
  +2.2180000000000000E+03,  +4.5836246229068863E+01,  +4.2340351111652154E+01,  +3.8952000494044135E+01,
  +2.2190000000000000E+03,  +4.4009992073564227E+01,  +4.0570591175427651E+01,  +3.7223790024063845E+01,
  +2.2200000000000000E+03,  +4.2266067951853081E+01,  +3.8871969815484533E+01,  +3.5548899488888168E+01,
  +2.2210000000000000E+03,  +5.0876026550889662E+01,  +4.3262014523670352E+01,  +3.9417319062807366E+01,
  +2.2220000000000000E+03,  +5.8714243971340082E+01,  +5.1042070782885567E+01,  +4.6518631841744586E+01,
  +2.2230000000000000E+03,  +6.1403357955890804E+01,  +5.6427699467529330E+01,  +5.2194867853213658E+01,
  +2.2240000000000000E+03,  +6.2723990663304122E+01,  +5.9362375693519219E+01,  +5.5736764610899598E+01,
  +2.2250000000000000E+03,  +6.3428629537763300E+01,  +6.0960275303254392E+01,  +5.7690996665854023E+01,
  +2.2260000000000000E+03,  +6.3811410230393442E+01,  +6.1819450412048937E+01,  +5.8733715188014195E+01,
  +2.2270000000000000E+03,  +6.4031588415287388E+01,  +6.2302753266311001E+01,  +5.9322741879169811E+01,
  +2.2280000000000000E+03,  +6.3393287292573895E+01,  +6.1270821224882255E+01,  +5.7731485028326745E+01,
  +2.2290000000000000E+03,  +6.2001056341715909E+01,  +5.9151328389102673E+01,  +5.5093029224079814E+01,
  +2.2300000000000000E+03,  +6.0659514549676246E+01,  +5.7377869853614030E+01,  +5.3373139395740893E+01,
  +2.2310000000000000E+03,  +5.9544103521028248E+01,  +5.6078737000624663E+01,  +5.2224553677939696E+01,
  +2.2320000000000000E+03,  +5.8612730046059674E+01,  +5.5073559643206465E+01,  +5.1349335723213542E+01,
  +2.2330000000000000E+03,  +5.7730367114350145E+01,  +5.4166317868826567E+01,  +5.0545143393961453E+01,
  +2.2340000000000000E+03,  +6.0405712913569992E+01,  +5.6413698895669960E+01,  +5.2833020074250399E+01,
  +2.2350000000000000E+03,  +6.1603651359614716E+01,  +5.7450195981037965E+01,  +5.3860099876701469E+01,
  +2.2360000000000000E+03,  +6.0207684687601621E+01,  +5.6215779255582163E+01,  +5.2603563958920098E+01,
  +2.2370000000000000E+03,  +5.8432084018702582E+01,  +5.4570775745192002E+01,  +5.0921872652435724E+01,
  +2.2380000000000000E+03,  +5.6226603300239624E+01,  +5.2453112425302862E+01,  +4.8777533834031480E+01,
  +2.2390000000000000E+03,  +5.3952410686980201E+01,  +5.0236305678829936E+01,  +4.6598484450766371E+01,
  +2.2400000000000000E+03,  +5.1826609664537735E+01,  +4.8167805540036582E+01,  +4.4612869408670200E+01,
  +2.2410000000000000E+03,  +4.9880464515292360E+01,  +4.6286294452458698E+01,  +4.2812642061453516E+01,
  +2.2420000000000000E+03,  +4.8106686571474675E+01,  +4.4577008963430131E+01,  +4.1169107213812325E+01,
  +2.2430000000000000E+03,  +4.6469838650828109E+01,  +4.2998401304564560E+01,  +3.9637410876406328E+01,
  +2.2440000000000000E+03,  +4.4909781804249583E+01,  +4.1487336508835817E+01,  +3.8154641089049086E+01,
  +2.2450000000000000E+03,  +5.2568045173699424E+01,  +4.5552891189383899E+01,  +4.1690037423764238E+01,
  +2.2460000000000000E+03,  +5.9635323283649029E+01,  +5.2692307399660002E+01,  +4.8217037517757447E+01,
  +2.2470000000000000E+03,  +5.9453917229852891E+01,  +5.4013619163198648E+01,  +4.9767398645594625E+01,
  +2.2480000000000000E+03,  +6.0431071782469786E+01,  +5.5711643018157893E+01,  +5.1885598570872851E+01,
  +2.2490000000000000E+03,  +6.2497241229782588E+01,  +5.8923861032436356E+01,  +5.5330793086784162E+01,
  +2.2500000000000000E+03,  +6.1919019485105416E+01,  +5.8671743874195137E+01,  +5.4894708265757629E+01,
  +2.2510000000000000E+03,  +6.2230393078653421E+01,  +5.9049337885231004E+01,  +5.5469978365528036E+01,
  +2.2520000000000000E+03,  +6.1900062866235793E+01,  +5.8696965945122400E+01,  +5.5048074836221730E+01,
  +2.2530000000000000E+03,  +6.0207042017064694E+01,  +5.6768937646063868E+01,  +5.2840003533972357E+01,
  +2.2540000000000000E+03,  +5.8805405713234265E+01,  +5.5208900344863558E+01,  +5.1310344590488036E+01,
  +2.2550000000000000E+03,  +5.7738155560576608E+01,  +5.4078751294133674E+01,  +5.0278363520240156E+01,
  +2.2560000000000000E+03,  +5.6934231018257705E+01,  +5.3258046799741855E+01,  +4.9544599925795090E+01,
  +2.2570000000000000E+03,  +6.0095540561398465E+01,  +5.5899138241526551E+01,  +5.2155116814832411E+01,
  +2.2580000000000000E+03,  +6.1753688343781185E+01,  +5.7315694232136629E+01,  +5.3566598262366959E+01,
  +2.2590000000000000E+03,  +6.0798850935711961E+01,  +5.6506259420575141E+01,  +5.2814252848596418E+01,
  +2.2600000000000000E+03,  +5.9684836360545368E+01,  +5.5538546387494939E+01,  +5.1878239096683103E+01,
  +2.2610000000000000E+03,  +5.8273187251851354E+01,  +5.4271115921076934E+01,  +5.0613467471266397E+01,
  +2.2620000000000000E+03,  +5.6549546329353660E+01,  +5.2669197463016978E+01,  +4.9000792343784688E+01,
  +2.2630000000000000E+03,  +5.4772398593002805E+01,  +5.0978310126396728E+01,  +4.7329254199183339E+01,
  +2.2640000000000000E+03,  +5.3108911279008346E+01,  +4.9380473910541006E+01,  +4.5784658726553644E+01,
  +2.2650000000000000E+03,  +5.1590788594000017E+01,  +4.7921699091205134E+01,  +4.4388166967512213E+01,
  +2.2660000000000000E+03,  +5.0210244213175073E+01,  +4.6597209372191990E+01,  +4.3121884289073812E+01,
  +2.2670000000000000E+03,  +4.8937265938572978E+01,  +4.5376466322057261E+01,  +4.1948931093681651E+01,
  +2.2680000000000000E+03,  +4.7728573248765869E+01,  +4.4215308859646129E+01,  +4.0823456466714056E+01,
  +2.2690000000000000E+03,  +4.6518233875050214E+01,  +4.3047205633695661E+01,  +3.9676593975082120E+01,
  +2.2700000000000000E+03,  +5.3754805660340537E+01,  +4.7102739640627611E+01,  +4.3106475001598128E+01,
  +2.2710000000000000E+03,  +5.6668122840696576E+01,  +4.8973329658262870E+01,  +4.5134843238399313E+01,
  +2.2720000000000000E+03,  +5.3890849622808503E+01,  +4.7580378115722077E+01,  +4.4360393258941613E+01,
  +2.2730000000000000E+03,  +5.1497982206435530E+01,  +4.6270597209056078E+01,  +4.3186148896561193E+01,
  +2.2740000000000000E+03,  +4.9389125295562778E+01,  +4.4911217359707706E+01,  +4.1764680143283719E+01,
  +2.2750000000000000E+03,  +4.7505068078881223E+01,  +4.3489719353202688E+01,  +4.0239676185538727E+01,
  +2.2760000000000000E+03,  +4.5828487948883669E+01,  +4.2072946549424600E+01,  +3.8748877215415384E+01,
  +2.2770000000000000E+03,  +4.4380280372306594E+01,  +4.0765316674016631E+01,  +3.7412776038606061E+01,
  +2.2780000000000000E+03,  +4.3272902120345222E+01,  +3.9734491593422852E+01,  +3.6393952850108384E+01,
  +2.2790000000000000E+03,  +4.2477593285104859E+01,  +3.8986198912509892E+01,  +3.5674933253519676E+01,
